Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,Goals_H_HT,Goals_A_HT,TotalGoals_HT,Goals_H_FT,Goals_A_FT,TotalGoals_FT,Goals_H_Minutes,Goals_A_Minutes,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home_Pre,PPG_Away_Pre,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,ShotsOnTarget_H,ShotsOnTarget_A,ShotsOffTarget_H,ShotsOffTarget_A,Shots_H,Shots_A,Corners_H_FT,Corners_A_FT,TotalCorners_FT,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
11,7380345,Brazil Serie B,2024,2024-04-26 19:00:00,2,Sport Recife,Vila Nova,1,0,1,2,0,2,"['27', '51']",[],"2,3","2,1",6,"1,48","2,54","3,28","1,31","8,7","1,05","1,62","3,6","6,5","1,04","7,4","1,38","2,71","2,25","1,62","2,2","1,62","1,15","1,28","2,1",0,0,3,0,0,0,0,6,3,2,8,8,11,9,9,18,"1,4","9,8","3,65","1,18","4,33","1,3","3,35","1,83","2,4","1,9","1,84","2,48","1,5"
12,7380339,Brazil Serie B,2024,2024-04-26 19:00:00,2,Ituano,Operário PR,0,1,1,0,2,2,[],"['27', '90+9']","3,6","1,91","3,6","1,57","2,31","3,54","1,27","9,9","1,03","2,75","3,1","2,75","1,1","6,5","1,5","2,4","2,6","1,48","2,1","1,67","1,35","1,36","1,52",0,0,0,"1,5",0,0,0,4,5,7,11,11,16,9,3,12,"2,05","7,4","2,1","1,2","4,3","1,37","2,95","2,2","2,14","2,1","1,68","2,8","1,4"
13,7380341,Brazil Serie B,2024,2024-04-26 20:00:00,2,Avaí,Santos,0,0,0,0,2,2,[],"['58', '79']","4,75",2,"2,75","1,54","2,38","3,48","1,28","9,5","1,04","4,2","3,2",2,"1,06","6,5","1,43","2,54","2,35","1,57","2,1","1,67","1,8","1,33","1,21",0,0,"1,5","1,5",0,0,0,4,8,8,3,12,11,10,7,17,"2,86","8,1","1,62","1,19","4,5","1,35","3,05",2,"2,2","2,05","1,72","2,75","1,42"
14,7380337,Brazil Serie B,2024,2024-04-26 21:00:00,2,Guarani,Chapecoense,0,1,1,0,1,1,[],['30'],"2,88","1,95","4,5","1,57","2,31","3,54","1,27","9,9","1,03","2,15","3,1","3,75","1,07","6,25","1,5","2,4","2,5","1,5","2,1","1,67","1,25","1,32","1,55",0,0,"1,5","1,5",0,0,0,10,2,21,2,31,4,14,0,14,"1,62","8,1","2,86","1,21","4,2","1,38","2,88","2,1","2,1","2,14","1,66","2,88","1,38"
15,7380342,Brazil Serie B,2024,2024-04-27 17:00:00,2,CRB,Amazonas,0,0,0,0,0,0,[],[],"2,1","2,1",7,"1,51","2,46","3,44","1,28","9,3","1,04","1,5","3,4","6,5","1,09",7,"1,52","2,4","2,25","1,57","2,25","1,57","1,09","1,25","2,41",0,0,2,"0,5",0,0,0,7,4,9,3,16,7,2,3,5,"1,43","9,2","3,54","1,28","3,5","1,5","2,43","1,92","1,88","2,5","1,49","3,45","1,28"
16,7380344,Brazil Serie B,2024,2024-04-27 17:00:00,2,Paysandu,Botafogo SP,0,0,0,1,1,2,['68'],['79'],"2,75","1,95",5,"1,5","2,4","3,4","1,28","9,1","1,04","1,91","3,1","3,6","1,07",8,"1,44","2,75","2,3","1,55","2,2","1,62","1,25","1,25","1,8",0,0,1,"0,5",0,0,0,6,6,6,6,12,12,7,2,9,"1,49","7,7","3,45","1,26","3,65","1,48","2,55","2,38","1,9","2,43","1,52","3,3","1,3"
17,7380340,Brazil Serie B,2024,2024-04-27 18:00:00,2,América Mineiro,Novorizontino,1,0,1,2,0,2,"['45+2', '53']",[],"2,75",2,"4,75","1,54","2,38","3,54","1,27","9,9","1,03",2,"3,1","3,4","1,06","6,5","1,5","2,45","2,45","1,5","2,1","1,67","1,25","1,33","1,73",0,0,3,"1,5",0,0,0,10,2,7,6,17,8,7,2,9,"1,69","8,1","2,66","1,2","4,3","1,37","2,95",2,"2,14","2,1","1,68","2,8","1,4"
18,7380343,Brazil Serie B,2024,2024-04-28 16:00:00,2,Coritiba,Brusque,0,0,0,1,0,1,['85'],[],"2,1","2,1",7,"1,44","2,67","3,04","1,35",8,"1,06","1,6","3,6","4,8","1,03",8,"1,33","2,93","2,05","1,67","2,38","1,53","1,13","1,25","2,22",0,0,"1,5",0,0,0,0,5,4,4,5,9,9,5,5,10,"1,49",9,"3,24","1,18","4,6","1,34","3,1","1,91","2,25",2,"1,75","2,65","1,44"
19,7380336,Brazil Serie B,2024,2024-04-28 18:30:00,2,Goiás,Ponte Preta,1,0,1,3,0,3,"['32', '62', '73']",[],"2,3","2,05","6,5","1,52","2,43","3,48","1,28","9,4","1,04","1,75","3,2","4,2","1,06","6,8","1,43","2,54","2,37","1,53","2,38","1,53","1,17","1,3","1,97",0,0,3,"0,5",0,0,0,9,5,4,1,13,6,5,6,11,"1,46","9,4","3,34","1,2","4,3","1,37","2,95",2,"2,14","2,1","1,68","2,8","1,4"
20,7380338,Brazil Serie B,2024,2024-04-29 19:30:00,2,Mirassol,Ceará,2,0,2,3,2,5,"['22', '42', '83']","['67', '69']","2,75",2,"4,5","1,48","2,45","3,35","1,28","8,9","1,04",2,"3,4","3,75","1,07",8,"1,42","2,85","2,35","1,57","2,1","1,67","1,25","1,25","1,8",0,0,3,"1,5",0,0,0,6,5,5,7,11,12,6,11,17,"1,69","8,1","2,66","1,2","4,3","1,37","2,95","2,1","2,14","2,1","1,68","2,8","1,4"
21,7380354,Brazil Serie B,2024,2024-05-03 19:00:00,3,Paysandu,Avaí,0,0,0,0,0,0,[],[],"2,88","1,91","4,75","1,55","2,3","3,6","1,25","9,9","1,03","2,05","3,1","4,2","1,09",7,"1,5","2,45","2,6","1,48","2,25","1,57","1,3","1,28","1,67",1,0,1,"0,5","1,45","0,65","2,1",4,3,4,3,8,6,7,2,9,"1,59","8,5","2,91","1,22",4,"1,42","2,75","2,1","2,02","2,23","1,61",3,"1,35"
