Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,Goals_H_HT,Goals_A_HT,TotalGoals_HT,Goals_H_FT,Goals_A_FT,TotalGoals_FT,Goals_H_Minutes,Goals_A_Minutes,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home_Pre,PPG_Away_Pre,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,ShotsOnTarget_H,ShotsOnTarget_A,ShotsOffTarget_H,ShotsOffTarget_A,Shots_H,Shots_A,Corners_H_FT,Corners_A_FT,TotalCorners_FT,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
1,7373175,Brazil Serie A,2024,2024-04-13 18:30:00,1,Internacional,Bahia,0,0,0,2,1,3,"['72', '83']",['70'],"2,5","2,1","4,75","1,44","2,63",3,"1,36",9,"1,07","1,75","3,45","4,5","1,03","8,2","1,32","2,98","1,95","1,75","1,95","1,8","1,18","1,25","2,1",0,0,2,"1,33",0,0,0,10,5,7,3,17,8,6,3,9,"1,65","9,6","2,78","1,25","3,6","1,38","2,8","1,92","1,88","2,13","1,63","2,8","1,38"
2,7373184,Brazil Serie A,2024,2024-04-13 18:30:00,1,Criciúma,Juventude,1,0,1,1,1,2,['36'],['64'],"2,88",2,"4,33","1,5","2,5","3,5","1,29",11,"1,05","2,1","3,05","3,5","1,05",7,"1,41","2,61","2,3","1,55","2,05","1,7","1,28","1,37","1,52",0,0,1,"0,5",0,0,0,4,5,4,7,8,12,0,4,4,"1,87",9,"2,36","1,26","3,34","1,48","2,47",2,"1,8","2,47","1,48","3,28","1,27"
3,7373178,Brazil Serie A,2024,2024-04-13 21:00:00,1,Fluminense,Bragantino,1,0,1,2,2,4,"['45+4', '68']","['47', '52']","2,63","2,05","4,5","1,44","2,63",3,"1,36",9,"1,07","1,95","3,3","4,2","1,03","8,2","1,35","3,3","2,15","1,67","1,95","1,8","1,3","1,25","1,78",0,0,"1,67",1,0,0,0,12,9,10,7,22,16,13,6,19,"1,67","9,5","2,74","1,18","4,33","1,3","3,2","1,52","2,49","1,9","1,9","2,2","1,67"
4,7373181,Brazil Serie A,2024,2024-04-13 21:00:00,1,São Paulo,Fortaleza,0,0,0,1,2,3,['84'],"['66', '80']","2,63",2,"4,75","1,5","2,5","3,5","1,29",11,"1,05","1,95","3,3",4,"1,05","6,95","1,44","2,85","2,35","1,57","2,05","1,7","1,22","1,28","1,9",0,0,"0,5",2,0,0,0,7,3,5,3,12,6,11,4,15,"1,48","9,9","3,4","1,29","3,3","1,51","2,5","2,2","1,82","2,17","1,68","2,88","1,36"
5,7373179,Brazil Serie A,2024,2024-04-14 16:00:00,1,Vasco da Gama,Grêmio,2,0,2,2,1,3,"['24', '37']",['68'],3,"2,05","3,75","1,44","2,63","3,25","1,33",9,"1,07","2,15","3,3","3,2","1,03","7,9","1,37","3,21",2,"1,73","1,91","1,91","1,33","1,28","1,68",0,0,"1,5",0,0,0,0,4,3,7,5,11,8,3,5,8,"1,62","9,5","2,88","1,18","4,33","1,32","3,1",2,"2,55","1,8","1,9","2,27","1,56"
6,7373180,Brazil Serie A,2024,2024-04-14 16:00:00,1,Corinthians,Atlético Mineiro,0,0,0,0,0,0,[],[],"3,4","1,91","3,75","1,57","2,25","3,75","1,25",13,"1,04","2,6",3,"2,75","1,12","6,7","1,51","2,32","2,2","1,6","2,1","1,67","1,4","1,33","1,52",0,0,"1,67","1,67",0,0,0,3,4,7,2,10,6,3,3,6,"2,03","8,5","2,15","1,29","3,4","1,34",3,"2,25","2,25","2,03","1,7","2,65","1,42"
7,7373182,Brazil Serie A,2024,2024-04-14 16:00:00,1,Atlético PR,Cuiabá,3,0,3,4,0,4,"['23', '37', '39', '81']",[],"2,25","2,1","6,5","1,5","2,5","3,4","1,3",10,"1,06","1,53","3,75",6,"1,04","7,4","1,43","2,9","2,12","1,64","2,2","1,62","1,09","1,27","2,15",0,0,3,0,0,0,0,10,2,6,1,16,3,7,0,7,"1,41","11,5","3,6","1,2",4,"1,28","3,35",2,"2,37","1,9","1,8","2,45","1,49"
8,7373183,Brazil Serie A,2024,2024-04-14 16:00:00,1,Atlético GO,Flamengo,0,1,1,1,2,3,['63'],"['45+6', '90+13']",5,"2,1","2,5","1,4","2,75",3,"1,36",8,"1,08","4,2","3,5","1,8","1,02","8,9","1,33","3,43","1,96","1,89","1,95","1,8","2,05","1,22","1,2",0,0,0,"1,67",0,0,0,5,3,5,8,10,11,4,4,8,"2,74","9,5","1,67","1,18","4,33","1,35","2,95","2,2","2,22","2,07","1,67","2,7","1,41"
9,7373176,Brazil Serie A,2024,2024-04-14 17:00:00,1,Cruzeiro,Botafogo,1,1,2,3,2,5,"['20', '65', '90+1']","['5', '83']","3,1","1,95",4,"1,57","2,25","3,75","1,25",11,"1,05","2,15","3,1","3,4","1,11","7,26","1,48","2,4","2,45","1,48","2,05","1,7","1,33","1,3","1,65",0,0,3,"1,5",0,0,0,6,4,4,3,10,7,6,3,9,"1,45","9,7","3,6","1,25","3,6","1,42","2,65","1,73","1,99","2,2","1,6","2,9","1,36"
10,7373177,Brazil Serie A,2024,2024-04-14 18:30:00,1,Vitória,Palmeiras,0,1,1,0,1,1,[],['20'],"4,75","2,1","2,5","1,36",3,"2,75","1,4",8,"1,08",5,"3,8","1,62","1,01","9,4","1,31","3,57","1,83","2,03","1,95","1,8","2,05","1,2","1,18",0,0,"0,33","2,33",0,0,0,6,5,4,7,10,12,3,9,12,"2,78","9,6","1,65","1,22","3,65","1,5","2,4","2,38","1,85","2,4","1,5","3,3","1,29"
11,7373187,Brazil Serie A,2024,2024-04-16 21:30:00,2,Bahia,Fluminense,1,1,2,2,1,3,"['34', '61']",['4'],"2,75","2,2","3,75","1,42","2,65","2,8","1,38",7,"1,07","2,15","3,4","3,5","1,05","9,9","1,34","3,44","1,9","1,9","1,7","2,05","1,3","1,35","1,7",0,0,3,0,0,0,0,6,4,5,3,11,7,4,3,7,"1,62","9,5","2,88","1,17","4,4","1,34",3,"2,2","2,25","1,95","1,77","2,4","1,5"
